price,vin,stock,model,body,exterior,interior,engine,location
" $42,815",JTEBU5JR6L5804765,L5804765,8672,Sport Utility,White,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $42,816",JTEBU5JR4L5798156,L5798156,8672,Sport Utility,Red,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $42,816",JTEBU5JR2L5801569,L5801569,8672,Sport Utility,Gray,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $43,090",5TDDZ3DC1LS240883,LS240883,5377,Mini-Van,Silver,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,672",5TDHZRBH9LS506766,LS506766,6953,Sport Utility,Silver,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,562",3TMDZ5BN5LM091071,LM091071,7566,TRD Sport Double Cab 6' Bed V6 AT,Gray,Black/Gun Metal,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,427",4T1D21FB2LU017031,LU017031,3514,Sedan,Blue,Graphite,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $46,668",5TFBY5F1XLX883616,LX883616,8352,Double Cab,Gray,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $46,903",5TFCZ5AN0LX221975,LX221975,7598,TRD Pro Double Cab 5' Bed V6 AT,White,BLACK/BLACK,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $45,916",JTEBU5JR0L5801957,L5801957,8668,Sport Utility,Gray,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $44,051",5TFDY5F19LX928733,LX928733,8361,CrewMax,Silver,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $45,796",5TDHBRCH1LS001484,LS001484,6965,Sport Utility,Gray,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $46,986",5TFCZ5AN8LX215566,LX215566,7598,TRD Pro Double Cab 5' Bed V6 AT,White,BLACK/BLACK,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $47,544",5TFBY5F11LX917281,LX917281,8352,Double Cab,White,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $45,659",5TDDZRBH5LS023712,LS023712,6956,Sport Utility,Black,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $45,170",5TDDZRBH8LS013465,LS013465,6956,Sport Utility,Gold,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $45,483",JTEBU5JRXL5766327,L5766327,8668,Sport Utility,White,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $45,324",JTEBU5JR6L5750867,L5750867,8667,Sport Utility,Silver,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $44,166",5TFDY5F15LX929572,LX929572,8361,CrewMax,White,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
